Company Name,State,HIOS ID,MM Individual,MM Small Group,Expected Reinsurance,Expected Risk Adjustment Individual,Expected Risk Adjustment Small Group,Actual Reinsurance,Actual Risk Adjustment Individual,Actual Risk Adjustment Small Group,Nonprofit,Expected Reinsurance Per Member Month,Actual Reinsurance Per Member Month,Expected Risk Adjustment Per Member Month Individual,Actual Risk Adjustment Per Member Month Individual,Expected Risk Adjustment Per Member Month Small Group,Actual Risk Adjustment Per Member Month Small Group,Difference in Reinsurance Per Member Month,Difference in Risk Adjustment Individual Per Member Month,Difference in Risk Adjustment Small Group Per Member Month
Trustmark Insurance Company,Delaware,18791,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Colorado,18808,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,California,18846,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Delaware,18878,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Kansas,19013,1259,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Reserve National Insurance Company,Ohio,19018,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Alaska,19136,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Trustmark Insurance Company,Nevada,19166,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
BCS Insurance Company,Ohio,19190,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Income Life Insurance Co,Nevada,19250,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Prudential Insurance Company of America,New Jersey,19292,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Kentucky,19306,2622,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Globe Life and Accident Insurance Co,New Hampshire,19341,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Progressive Life & Health Insurance Company of New York,Connecticut,19489,36,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Liberty National Life Insurance Co,Arizona,19509,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Texas,19547,72,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,Hawaii,19706,3911,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
"Molina Healthcare of New Mexico, Inc.",New Mexico,19722,48422,,300711,-265619,,300867.77,-265619.48,$-,No,6.21,6.21,-5.49,-5.49,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Kanawha Insurance Company ,South Dakota,19841,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,Connecticut,19846,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,North Dakota,19903,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Iowa,19905,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Freedom Life Insurance Company of America,Louisiana,19913,322,,214977.04,228822.19,,215088.93,235529.13,$-,No,667.63,667.98,710.63,731.46,#DIV/0!,#VALUE!,0.35,20.83,#VALUE!
Thrivent Financial for Lutherans,Alabama,20014,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Iowa,20063,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Missouri,20081,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Idaho,20088,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Philadelphia American Life Insurance Company,South Carolina,20212,9,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The Prudential Insurance Company of America,North Carolina,20248,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,West Virginia,20290,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Mutual of Omaha Insurance Company,North Carolina,20294,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Arkansas,20338,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Connecticut,20347,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Family Mutual Insurance Company,Kansas,20467,84,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Republic Insurance Company,Kansas,20483,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Wisconsin,20495,60,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,Iowa,20498,1692,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Thrivent Financial for Lutherans,Mississippi,20515,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Maine,20630,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Tennessee,20680,5880,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
United Teachers Associates,Ohio,20750,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Nationwide Life Insurance Company,Arkansas,20826,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The Prudential Insurance Company of America,Alaska,21076,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Kentucky,21100,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,North Dakota,21105,558,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Union Fidelity Life Insurance Company,Mississippi,21208,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,Connecticut,21306,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Republic Insurance Company,Illinois,21334,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Pennsylvania,21336,450,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
National Foundation Life Insurance Company,Utah,21400,355,,0,-3711.09,,0.00,-3711.09,$-,No,0.00,0.00,-10.45,-10.45,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Liberty Mutual Insurance Company,Puerto Rico,21403,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,New Mexico,21419,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Assurity Life Insurance Company,Oklahoma,21426,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Trustmark Insurance Company,Arizona,21496,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Security Life Insurance Company of New York,Kansas,21502,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Washington,21523,252,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Kanawha Insurance Company ,Nebraska,21537,77,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Income Life Insurance Co,Vermont,21555,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Virginia,21560,168,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American General Life Insurance Company,Louisiana,21566,492,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,Florida,21663,111,,110307.61,193747.7,,110365.02,193747.70,$-,No,993.76,994.28,1745.47,1745.47,#DIV/0!,#VALUE!,0.52,0.00,#VALUE!
The Prudential Insurance Company of America,New Hampshire,21684,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company of the MidWest,Tennessee,21723,10,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Standard Security Life Insurance Company of New York,Virginia,21731,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reserve National Insurance Company,Hawaii,21830,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American Heritage Life Insurance Company,Illinois,21909,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Massachusetts,21912,19,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Liberty National Life Insurance Co,Arkansas,22011,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Hartford Life and Annuity Insurance Company,Wisconsin,22051,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Liberty Mutual Insurance Company,Ohio,22110,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Hawaii,22131,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,South Dakota,22198,749,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Liberty Mutual Insurance Company,Iowa,22201,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Michigan,22213,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Life Insurance Company of Texas,Hawaii,22229,681,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
United Teachers Associates,Massachusetts,22251,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
TransAmerica Premier Life Insurance,Indiana,22273,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Oklahoma,22356,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Virginia,22371,36,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,South Carolina,22442,9545,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Republic Insurance Company,Maine,22484,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Reliance Standard Life Insurance Company,Idaho,22600,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Nebraska,22615,132,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Freedom Life Insurance Company of America,Tennessee,22638,3464,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Heritage Life Insurance Company,Arkansas,22690,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,Arkansas,22703,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
National Foundation Life Insurance Company,Minnesota,22718,48,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Life Insurance Company of Texas,Arizona,22722,1381,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American Family Mutual Insurance Company,Illinois,22796,127,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
United American Insurance Co,Arkansas,22830,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Missouri,22835,193,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Thrivent Financial for Lutherans,Missouri,22974,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Rhode Island,23044,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Unified Life Insurance Company,Oregon,23045,48,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Companion Life Insurance Company,New Hampshire,23090,3,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Insurance Company,Indiana,23247,38,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Standard Life and Accident Insurance Company,Florida,23324,56,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The United States Life Ins. Co. in the City of New York,Mississippi,23359,3636,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Washington National Insurance Company,Maine,23419,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
New Era Life Insurance Company of the MidWest,Georgia,23444,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,Oregon,23484,18,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,New York,23522,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Celtic Insurance Company,California,23633,0,,0,0,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Accident Insurance Company,Pennsylvania,23752,64,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
The Prudential Insurance Company of America,Massachusetts,23775,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Hawaii,23869,12,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Philadelphia American Life Insurance Company,Wyoming,23871,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Transamerica Life Insurance Company,Illinois,23913,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
WEA Insurance Company,Wisconsin,23966,,,,,,,,,Yes,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Standard Life and Casualty Insurance Company,Texas,23979,7356,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Pekin Life Insurance Company,Arizona,24046,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Pennsylvania,24181,230,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
American National Life Insurance Company of Texas,Illinois,24218,1123,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Liberty Mutual Insurance Company,Wisconsin,24362,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The United States Life Ins. Co. in the City of New York,Connecticut,24404,16239,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Vermont,24492,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Kanawha Insurance Company ,Iowa,24508,138,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Celtic Insurance Company,Georgia,24775,18,,0,1983.9,,0.00,1983.90,$-,No,0.00,0.00,110.22,110.22,#DIV/0!,#VALUE!,0.00,0.00,#VALUE!
Reserve National Insurance Company,Georgia,24794,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American National Life Insurance Company of Texas,Oklahoma,24803,2168,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Wilton Reassurance Company,Illinois,24809,267,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Humana Insurance Company,Vermont,24815,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
The Guardian Life Insurance Company of America,New Hampshire,24847,60,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Reliance Standard Life Insurance Company,Rhode Island,25048,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"Madison National Life Insurance Company, Inc.",Utah,25141,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Protective Life Insurance Company,Georgia,25201,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Hawaii,25253,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"New York State Catholic Health Plan, Inc.",New York,25303,786748,,13855317.65,-56621556.4,,13867355.91,-56655138.64,$-,Yes,17.61,17.63,-71.97,-72.01,#DIV/0!,#VALUE!,0.02,-0.04,#VALUE!
American Income Life Insurance Co,New York,25328,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Medico Corp Life Insurance Company,Georgia,25329,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
"National Union Fire Insurance Company of Pittsburgh, Pa.",Pennsylvania,25407,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United American Insurance Co,North Carolina,25644,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Globe Life and Accident Insurance Co,New York,25649,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Thrivent Financial for Lutherans,Utah,25678,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
American General Life Insurance Company,Oklahoma,25694,396,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
National Foundation Life Insurance Company,West Virginia,25786,24,,0,0,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
AMERICAN FIDELITY ASSURANCE COMPANY,Wisconsin,25795,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Wilton Reassurance Company,Alabama,25807,25,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
Pekin Life Insurance Company,Tennessee,25824,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
United Teachers Associates,Idaho,25985,0,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Union Fidelity Life Insurance Company,Kentucky,25991,,,,,,,,,No,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
Philadelphia American Life Insurance Company,Oregon,26008,51,,,,,,,,No,0.00,0.00,0.00,0.00,#DIV/0!,#DIV/0!,0.00,0.00,#DIV/0!
